,movieId,directors,actors
227,324,Geoff Burton|Kevin Dowling,Jack Thompson|Russell Crowe|John Polson
228,325,Kelly Makin,Matt Frewer|Valerie Mahaffey|Lawrence Dane
229,326,Yimou Zhang,You Ge|Gong Li|Ben Niu
230,328,Ernest R. Dickerson,Billy Zane|William Sadler|Jada Pinkett Smith
231,329,David Carson,Patrick Stewart|William Shatner|Malcolm McDowell
232,330,Rusty Cundieff,Clarence Williams III|Corbin Bernsen|Joe Torry
233,331,Brian Gilbert,Willem Dafoe|Miranda Richardson|Rosemary Harris
234,332,John Carpenter,Christopher Reeve|Kirstie Alley|Linda Kozlowski
235,333,Peter Segal,Chris Farley|David Spade|Brian Dennehy
236,334,Louis Malle,Wallace Shawn|Phoebe Brand|George Gaynes
237,335,Steven Soderbergh,Peter Gallagher|Elisabeth Shue|Alison Elliott
238,336,Preston A. Whitmore II,Allen Payne|Eddie Griffin|Joe Morton
239,337,Lasse Hallström,Johnny Depp|Leonardo DiCaprio|Juliette Lewis
240,338,Brett Leonard,Denzel Washington|Russell Crowe|Kelly Lynch
241,339,Jon Turteltaub,Sandra Bullock|Bill Pullman|Peter Gallagher
242,340,Jon Avnet,Elijah Wood|Kevin Costner|Mare Winningham
243,341,Mina Shum,Sandra Oh|Stephen Chang|Claudette Carracedo
244,342,P.J. Hogan,Toni Collette|Rachel Griffiths|Bill Hunter
245,343,Melanie Mayron,Schuyler Fisk|Bre Blair|Rachael Leigh Cook
246,344,Tom Shadyac,Jim Carrey|Courteney Cox|Sean Young
247,345,Stephan Elliott,Hugo Weaving|Guy Pearce|Terence Stamp
248,346,Iain Softley,Stephen Dorff|Sheryl Lee|Ian Hart
249,347,Roman Polanski,Hugh Grant|Kristin Scott Thomas|Emmanuelle Seigner
250,348,Woody Allen,John Cusack|Dianne Wiest|Jennifer Tilly
251,349,Phillip Noyce,Harrison Ford|Willem Dafoe|Anne Archer
252,350,Joel Schumacher,Susan Sarandon|Tommy Lee Jones|Brad Renfro
253,351,Jessie Nelson,Ray Liotta|Whoopi Goldberg|Tina Majorino
254,352,Spike Lee,Alfre Woodard|Delroy Lindo|David Patrick Kelly
255,353,Alex Proyas,Brandon Lee|Michael Wincott|Rochelle Davis
256,354,Ron Shelton,Tommy Lee Jones|Robert Wuhl|Lolita Davidovich
257,355,Brian Levant,John Goodman|Rick Moranis|Rosie O&apos;Donnell
258,356,Robert Zemeckis,Tom Hanks|Robin Wright|Gary Sinise
259,357,Mike Newell,Hugh Grant|Andie MacDowell|James Fleet
260,359,Darnell Martin,Luna Lauren Velez|Jon Seda|Tomas Melly
261,360,Charles Shyer,Nick Nolte|Julia Roberts|Saul Rubinek
262,361,Andrew Bergman,Nicolas Cage|Bridget Fonda|Rosie Perez
263,362,Stephen Sommers,Jason Scott Lee|Cary Elwes|Lena Headey
264,364,Roger Allers|Rob Minkoff,Matthew Broderick|Jeremy Irons|James Earl Jones
265,365,Bernardo Bertolucci,Keanu Reeves|Bridget Fonda|Ruocheng Ying
266,366,Wes Craven,Heather Langenkamp|Robert Englund|Jf Davis
267,367,Chuck Russell,Jim Carrey|Cameron Diaz|Peter Riegert
268,368,Richard Donner,Mel Gibson|Jodie Foster|James Garner
269,369,Alan Rudolph,Jennifer Jason Leigh|Campbell Scott|Matthew Broderick
270,371,Ron Howard,Michael Keaton|Glenn Close|Robert Duvall
271,372,Ben Stiller,Winona Ryder|Ethan Hawke|Janeane Garofalo
272,373,John Dahl,Nicolas Cage|Dennis Hopper|Lara Flynn Boyle
273,374,Donald Petrie,Macaulay Culkin|Edward Herrmann|John Larroquette
274,377,Jan de Bont,Keanu Reeves|Dennis Hopper|Sandra Bullock
275,379,Peter Hyams,Jean-Claude Van Damme|Mia Sara|Ron Silver
276,380,James Cameron,Arnold Schwarzenegger|Jamie Lee Curtis|Tom Arnold
277,381,Luis Mandoki,Meg Ryan|Andy Garcia|Ellen Burstyn
278,382,Mike Nichols,Jack Nicholson|Michelle Pfeiffer|James Spader
279,383,Lawrence Kasdan,Kevin Costner|Dennis Quaid|Gene Hackman
280,384,Damian Harris,Ellen Barkin|Laurence Fishburne|Frank Langella
281,385,Suri Krishnamma,Albert Finney|Brenda Fricker|Michael Gambon
282,386,Jefery Levy,Stephen Dorff|Reese Witherspoon|Jake Busey
283,387,Keenen Ivory Wayans,Keenen Ivory Wayans|Charles S. Dutton|Jada Pinkett Smith
284,389,Yves Angelo,Gérard Depardieu|Fanny Ardant|Fabrice Luchini
285,393,Steven E. de Souza,Jean-Claude Van Damme|Raul Julia|Ming-Na Wen
286,407,John Carpenter,Sam Neill|Jürgen Prochnow|Julie Carmen
287,408,John G. Avildsen,Luke Perry|Stephen Baldwin|James Rebhorn
288,409,Jeff Pollack,Duane Martin|Tupac Shakur|Leon
289,412,Martin Scorsese,Daniel Day-Lewis|Michelle Pfeiffer|Winona Ryder
290,413,Michael Lehmann,Brendan Fraser|Steve Buscemi|Adam Sandler
291,414,Paul Michael Glaser,Kevin Bacon|Charles Gitonga Maina|Yolanda Vazquez
292,415,John Badham,Richard Dreyfuss|Emilio Estevez|Rosie O&apos;Donnell
293,417,Whit Stillman,Taylor Nichols|Chris Eigeman|Tushka Bergen
294,418,Bill Forsyth,Robin Williams|John Turturro|Kelly Hunter
295,419,Penelope Spheeris,Diedrich Bader|Erika Eleniak|Jim Varney
296,421,Caroline Thompson,Sean Bean|David Thewlis|Docs Keepin Time
297,422,Michael Apted,Madeleine Stowe|Aidan Quinn|James Remar
298,423,Stephen Hopkins,Jeff Bridges|Tommy Lee Jones|Suzy Amis
299,424,William Friedkin,Nick Nolte|Mary McDonnell|J.T. Walsh
300,425,Tony Richardson,Jessica Lange|Tommy Lee Jones|Powers Boothe
301,426,Abel Ferrara,Gabrielle Anwar|Meg Tilly|Terry Kinney
302,427,Jennifer Lynch,Julian Sands|Sherilyn Fenn|Bill Paxton
303,429,Adam Resnick,Chris Elliott|Ritch Brinkley|James Gammon
304,430,John Whitesell,Jason Priestley|Gabriel Olds|Jerry O&apos;Connell
305,431,Brian De Palma,Al Pacino|Sean Penn|Penelope Ann Miller
306,433,Mick Jackson,Dana Carvey|Valeria Golino|James Earl Jones
307,434,Renny Harlin,Sylvester Stallone|John Lithgow|Michael Rooker
308,435,Steve Barron,Dan Aykroyd|Jane Curtin|Robert Knott
309,436,Richard Rush,Bruce Willis|Jane March|Rubén Blades
310,437,Michael Ritchie,Chevy Chase|Jack Palance|Dianne Wiest
311,440,Ivan Reitman,Kevin Kline|Sigourney Weaver|Frank Langella
312,441,Richard Linklater,Jason London|Wiley Wiggins|Matthew McConaughey
313,442,Marco Brambilla,Sylvester Stallone|Wesley Snipes|Sandra Bullock
314,444,Gus Van Sant,Uma Thurman|Lorraine Bracco|Pat Morita
315,445,Carl Reiner,Armand Assante|Sherilyn Fenn|Kate Nelligan
316,446,Kaige Chen,Leslie Cheung|Fengyi Zhang|Gong Li
317,448,Peter Weir,Jeff Bridges|Isabella Rossellini|Rosie Perez
318,449,Rusty Cundieff,Larry B. Scott|Mark Christopher Lawrence|Rusty Cundieff
319,450,Alek Keshishian,Joe Pesci|Brendan Fraser|Moira Kelly
320,451,Steve Kloves,Dennis Quaid|Meg Ryan|James Caan
321,453,Barry Sonnenfeld,Michael J. Fox|Gabrielle Anwar|Anthony Higgins
322,454,Sydney Pollack,Tom Cruise|Jeanne Tripplehorn|Gene Hackman
323,455,Simon Wincer,Jason James Richter|Lori Petty|Michael Madsen
324,457,Andrew Davis,Harrison Ford|Tommy Lee Jones|Sela Ward
325,458,Walter Hill,Jason Patric|Gene Hackman|Robert Duvall
326,459,Roger Donaldson,Alec Baldwin|Kim Basinger|Michael Madsen
327,464,John Woo,Jean-Claude Van Damme|Lance Henriksen|Yancy Butler
328,466,Jim Abrahams,Charlie Sheen|Lloyd Bridges|Valeria Golino
329,467,Julianna Lavin,Dana Delany|Kim Cattrall|Cynthia Stevenson
330,468,Christopher Monger,Hugh Grant|Tara Fitzgerald|Colm Meaney
331,469,Bille August,Jeremy Irons|Meryl Streep|Maria Conchita Alonso
332,470,Eric Meza,Christopher Reid|Christopher Martin|David Edwards
333,471,Joel Coen|Ethan Coen,Tim Robbins|Paul Newman|Jennifer Jason Leigh
334,472,James L. Brooks,Nick Nolte|Albert Brooks|Whittni Wright
335,473,Daniel Petrie Jr.,Pauly Shore|Lori Petty|Andy Dick
336,474,Wolfgang Petersen,Clint Eastwood|John Malkovich|Rene Russo
337,475,Jim Sheridan,Daniel Day-Lewis|Pete Postlethwaite|Alison Crosbie
338,476,Matty Rich,Larenz Tate|Joe Morton|Suzzanne Douglas
339,477,Brian Gibson,Angela Bassett|Laurence Fishburne|RaéVen Kelly
340,479,Stephen Hopkins,Emilio Estevez|Cuba Gooding Jr.|Denis Leary
341,480,Steven Spielberg,Sam Neill|Laura Dern|Jeff Goldblum
342,481,Dominic Sena,Brad Pitt|Juliette Lewis|Kathy Larson
343,482,Roger Avary,Eric Stoltz|Julie Delpy|Martin Raymond
344,484,Daniel Petrie,Helen Slater|Tom Guiry|Jon Tenney
345,485,John McTiernan,Arnold Schwarzenegger|F. Murray Abraham|Art Carney
346,486,James Lapine,Michael J. Fox|Christina Vidal|Nathan Lane
347,487,Simon Wincer,Paul Hogan|Cuba Gooding Jr.|Beverly D&apos;Angelo
348,488,David Cronenberg,Jeremy Irons|John Lone|Barbara Sukowa
349,489,Richard Benjamin,Whoopi Goldberg|Ted Danson|Will Smith
350,490,Harold Becker,Alec Baldwin|Nicole Kidman|Bill Pullman
351,492,Woody Allen,Woody Allen|Diane Keaton|Jerry Adler
352,494,Stuart Baird,Kurt Russell|Halle Berry|Steven Seagal
353,495,Nagisa Ôshima,Tatsuya Fuji|Eiko Matsuda|Aoi Nakajima
354,496,Tom Noonan,Tom Noonan|Karen Sillas
355,497,Kenneth Branagh,Kenneth Branagh|Emma Thompson|Keanu Reeves
356,499,Anthony Minghella,Matt Dillon|Annabella Sciorra|Mary-Louise Parker
357,500,Chris Columbus,Robin Williams|Sally Field|Pierce Brosnan
